region,threshold_3SD
CTX_LH_ENTORHINAL_SUVR,1.449
CTX_RH_ENTORHINAL_SUVR,1.419
CTX_LH_AMYGDALA_SUVR,1.521
CTX_RH_AMYGDALA_SUVR,1.508
CTX_LH_FUSIFORM_SUVR,1.533
CTX_RH_FUSIFORM_SUVR,1.409
CTX_LH_PARAHIPPOCAMPAL_SUVR,1.382
CTX_RH_PARAHIPPOCAMPAL_SUVR,1.328
CTX_LH_INFERIORTEMPORAL_SUVR,1.595
CTX_RH_INFERIORTEMPORAL_SUVR,1.424
CTX_LH_MIDDLETEMPORAL_SUVR,1.551
CTX_RH_MIDDLETEMPORAL_SUVR,1.393
CTX_LH_PRECENTRAL_SUVR,1.207
CTX_RH_PRECENTRAL_SUVR,1.214
CTX_LH_POSTCENTRAL_SUVR,1.194
CTX_RH_POSTCENTRAL_SUVR,1.193
